Name	Set	ImageFile	Rarity	Type	Color	Cost	Ability	Family	Skill 1	Skill 2	Skill 3	Skill 4	Skill 5	Skill 6	Skill 7	Skill 8	Banned/Restricted List
Horned Penguin	BS34	BS34-001.jpg	Common	Spirit	Red	1		Emperor Beast									
The Aide Homuramandrill	BS34	BS34-002.jpg	Uncommon	Spirit	Red	2		Emperor Beast	"[LV1][LV2] All of your ultimate cards with ""SengokuSixGeneral"" in the name can be summoned ignoring their summon conditions when Soul Core is used to pay the cost."	[LV2] (Your Attack Step) Increase the BP destruction limit of your The SengokuSixGeneral LeonLancer by +10000, and its BP destruction effects cannot be nullified by Ultra Armor.							
The CrossbowDragon Suiha	BS34	12507134_960706577329652_7576976173463190319_n.jpg	Common	Spirit	Red	3		War Dragon	[LV1][LV2][LV3] (Your Attack Step) When Soul Core is sent to the trash by the effects of your spirits, once per turn, you can move the Soul Core from your trash to this spirit.	[LV3][ (When Attacks) When there is Soul Core on this spirit, destroy one spirit with 10000 BP or less.							
The GunDog Zash	BS34	BS34-004.jpg	Common	Spirit	Red	3	Spirit Soul	Emperor Beast	[LV1][LV2] Spirit Soul: Red - When you summon an Ultimate, this Spirit gets 1 extra Red Symbol.								
The RowdyGeneral Goujin	BS34	12006_960706607329649_5135737464867611756_n.jpg	Rare	Spirit	Red	4	Showdown	Vassal, War Dragon	[LV1][LV2][LV3] You can target an opposing spirit for your Showdown effects.	[LV2][LV3] Showdown - (Your Opponent's Start Step) Your opponent chooses 1 of their Spirits and compares BP with this Spirit. Destroy the Spirit(s) with equal or lower BP. When only the Spirit chosen by the opponent is destroyed, you may activate the following effect: Draw two cards from your deck.							
The MushaPriest Suou	BS34	BS34-006_500.jpg	Uncommon	Spirit	Red	5	Catalyze	Catalyst, Vassal,War Dragon	"[LV1][LV2][LV3] Catalyze: Red/White/Blue (When Attacks) By sending Soul Core from this Spirit to your trash, immediately activate your set Red/White/Blue Soul Burst. If the activated Burst Card has the name ""Soul Dragon"", treat your life as 3."								
Musharex	BS34	12494830_960706610662982_6296984487336694046_n.jpg	Common	Spirit	Red	5	Evolution (Awaken)	Terra Dragon	[LV1][LV2][LV3] Flash Evolution - You may move any number of cores from spirits you control to this spirit.	[LV3] (When Attacks) When there is Soul Core on this spirit, this spirit gains one green symbol.							
Holy Flame Dragon	BS34	BS34-008.jpg	Common	Spirit	Red	6		Ancient Dragon	[LV1][LV2][LV3] (When Summoned) Destroy one opposing spirit with BP 8000 or less.								
The ChiefRetainer Ryuuzen	BS34	CYviShbUMAAiyqx.png	Master Rare	Spirit	Red	8		Vassal, War Dragon, Ancient Dragon	"[LV1][LV2][LV3] (When Summoned) You may summon one Red/Purple/Green/White/Yellow/Blue Spirit card each from your hand in the family ""Lord"" without paying the cost."	"[LV2][LV3] (Your Attack Step) When your spirits in the family ""Lord"" attack, for each color symbol on your spirits in the families ""Lord""/""Vassal"", destroy one opposing spirit or ultimate with 20000 BP or less and draw one card from your deck."							
Front Ogre	BS34	CZKALmpUEAABIqW.png	Common	Spirit	Purple	1		Vassal, Ogre Wizard	This spirit card in your trash can be summoned when your Back Ogre is summoned.	[LV1][LV2][LV3] (When Destroyed by the Opponent) By discarding one card from your hand, draw one card from your deck.							
