Name	Set	ImageFile	Rarity	Type	Color	Cost	Ability	Family	Skill 1	Skill 2	Skill 3	Skill 4	Skill 5	Skill 6	Skill 7	Skill 8	Banned/Restricted List
Dramaru	BS33	CQJQytwVEAE1dbt2.jpg	Common	Spirit	Red	0		War Dragon	"[LV1][LV2] (Your Main Step) - While summoning a Spirit with ""Samurai-Dragon"" or ""Souldragon"" in its name, this Spirit gains 1 red symbol."								
Homuragdoll	BS33	BS33-002.jpg	Uncommon	Spirit	Red	2		Emperor Beast	[LV1][LV2] The color and symbol of this Spirit are also treated as Green.	[LV1][LV2] (After your Burst Activates) If the activated Burst is a Green card, refresh 1 of your Green Spirits.							
The Tactician Crowderdragon	BS33	CQJQwuGUkAEgsjP2.jpg	Common	Spirit	Red	3		Dragon, War Dragon	[LV1][LV2][LV3](Your Attack Step) When your spirits with Evolution, True-Clash, Showdown, Consecutive Blade, or Infinite Blade attack, draw 1 card from your deck.								
The ResplendentCommander Hyoujindragon	BS33	CQJQxHbUkAEn03p2.jpg	Common	Spirit	Red	4	Showdown	Vassal, War Dragon	[LV1][LV2][LV3] Showdown-(Your Opponent's Start Step) Your opponent chooses 1 of their Spirits and compares BP with this Spirit. Destroy the Spirit(s) with equal or lower BP. When only the Spirit chosen by the opponent is destroyed, you may activate the following effect: During this turn, your opponent cannot summon cost 4 or less Spirit/Ultimates.								
Mushaceratops	BS33	BS33-005.jpg	Common	Spirit	Red	4		Terra Dragon									
Sengoku Condor	BS33	BS33-006_500.jpg	Rare	Spirit/Soul Burst	Red	5	Soul Burst	Emperor Beast	[ Soul Burst: After your Spirit is destroyed by the opponent ]	Destroy all opposing Spirits with 4000 BP or less. After this effect resolves, summon this Spirit card without paying the cost.	"[LV2] (When Battles) You can set 1 Spirit or Brave card with a Burst effect other than ""Sengoku Condor"" from your Trash."						
The LongswordGeneral Zangekidragon	BS33	Pack8012034-0001.jpg	Uncommon	Spirit	Red	5	Showdown	Vassal, War Dragon	"[LV1][LV2][LV3] All your Spirits with ""Showdown"" get +2000 BP."	[LV2][LV3] Showdown - (Your Opponent's Start Step) Your opponent chooses 1 of their Spirits and compares BP with this Spirit. Destroy the Spirit(s) with equal or lower BP. When only the Spirit chosen by the opponent is destroyed, you may activate the following effect: When your life is 3 or less, send 1 core from the opponent's life to their reserve.							
The SunSkyDragon Rengyou	BS33	BS33-008.jpg	Common	Spirit	Red	6	Evolution (Awaken)	War Dragon	[LV1][LV2][LV3] Flash Evolution - Move any number of cores from your other Spirits to this Spirit.	[LV3] (When Attacks) When Soul Core is placed on this Spirit due to Evolution, for once per turn, destroy 1 opposing Spirit or Ultimate with 20000 BP or less.							
The RiderDragonGeneral Gaishuu	BS33	BS33-009_500.jpg	Rare	Spirit	Red	7	Showdown	Vassal, War Dragon	[LV1][LV2][LV3] While Showdown is active, this Spirit gets +5000 BP.	[LV2][LV3] Showdown - (Your Opponent's Start Step) Your opponent chooses 1 of their Spirits and compares BP with this Spirit. Destroy the Spirit(s) with equal or lower BP. When only the Spirit chosen by the opponent is destroyed, you may activate the following effect: Choose one symbol. During this turn, all opposing Spirits and Ultimates lose one of the designated symbols.							
The AwakenedDragon Sumeragi-Dragon	BS33	BS33-010.jpg	Master Rare	Spirit	Red	8		Vassal, War Dragon	This Spirit card in your hand can be summoned at no cost when your Spirit is depleted through Evolution.	[LV2] (Every Attack Step) When Soul Core is placed on your Spirit through Evolution, once per turn, refresh that Spirit.							
